s1,s2,s3,s4,v_x,v_y
2477.0,2260.0,3417.0,3413.0,-20.0,-0.7925
2370.0,2048.0,3414.0,3418.0,-20.0,-0.7589
2383.0,2099.0,3420.0,3428.0,-20.0,-0.7497
2182.0,1905.0,3416.0,3415.0,-20.0,-0.6107
2275.0,2006.0,3404.0,3421.0,-20.0,-0.6207
2338.0,2094.0,3382.0,3431.0,-20.0,-0.6434
2348.0,2208.0,3153.0,3329.0,-11.5514,-0.5705
2466.0,2381.0,3071.0,3119.0,-3.7464,-0.547
2594.0,2560.0,2828.0,2959.0,-1.8585,-0.2684
2665.0,2684.0,2745.0,2812.0,-0.8633,-0.0966
2765.0,2844.0,2761.0,2783.0,0.0596,-0.0418
2723.0,2736.0,2709.0,2702.0,0.1577,0.0055
2708.0,2795.0,2686.0,2718.0,0.1371,-0.0337
2726.0,2772.0,2711.0,2734.0,0.5925,0.0693
2724.0,2834.0,2716.0,2816.0,0.1008,-0.0599
2709.0,2774.0,2733.0,2714.0,0.0983,-0.036
2782.0,2815.0,2733.0,2734.0,0.1811,-0.0607
3080.0,3212.0,2398.0,2383.0,2.2464,0.1769
3200.0,3292.0,2237.0,2209.0,4.9421,0.2398
3220.0,3324.0,2313.0,2246.0,6.1612,0.2331
3213.0,3311.0,2292.0,2192.0,8.0854,0.2976
3184.0,3329.0,2210.0,2279.0,9.364,0.2039
3248.0,3357.0,2262.0,2240.0,6.3992,0.1976
3372.0,3332.0,2277.0,2109.0,6.9035,0.3218
3219.0,3343.0,2228.0,2229.0,6.6231,0.1887
3200.0,3303.0,2291.0,2165.0,6.2586,0.1743
3228.0,3341.0,2305.0,2162.0,6.4397,0.3065
3256.0,3344.0,2290.0,2270.0,7.3829,0.2088
3212.0,3329.0,2238.0,2230.0,6.1333,0.1417
3245.0,3328.0,2235.0,2277.0,6.457,0.0707
3213.0,3349.0,2286.0,2217.0,6.175,0.1289
3228.0,3318.0,2256.0,2231.0,7.5637,0.1311
3246.0,3322.0,2203.0,2268.0,8.2045,0.0902
3060.0,3142.0,2335.0,2341.0,5.1664,0.0474
2913.0,2999.0,2606.0,2578.0,2.19,0.0495
2775.0,2795.0,2763.0,2798.0,0.3099,-0.0486
2650.0,2679.0,2849.0,2925.0,-0.7584,-0.3031
2569.0,2514.0,3004.0,3009.0,-1.3893,0.0018
2428.0,2359.0,3004.0,3182.0,-3.0043,-0.4328
2427.0,2292.0,3063.0,3185.0,-4.0328,-0.4615
2444.0,2301.0,3125.0,3183.0,-4.0787,-0.4702
2386.0,2281.0,3045.0,3172.0,-3.6997,0.008
2468.0,2398.0,3136.0,3181.0,-4.1098,-0.4449
2397.0,2269.0,3201.0,3231.0,-4.5909,-0.4322
2385.0,2203.0,3256.0,3308.0,-6.2607,-0.5711
2379.0,2229.0,3269.0,3338.0,-6.941,-0.6034
2294.0,1969.0,3350.0,3415.0,-16.9677,-0.565
2241.0,1772.0,3519.0,3423.0,-18.6243,-0.7237
2240.0,1706.0,3408.0,3422.0,-20.0,-0.8236
2242.0,1764.0,3420.0,3420.0,-20.0,-0.8377
2250.0,1931.0,3432.0,3532.0,-20.0,-0.8431
2397.0,2168.0,3268.0,3297.0,-15.1455,-0.556
2546.0,2454.0,3005.0,3005.0,-3.3942,-0.5074
2770.0,2837.0,2654.0,2742.0,-0.6948,-0.2728
2911.0,3023.0,2473.0,2524.0,1.5506,0.0992
3084.0,3185.0,2374.0,2390.0,2.8924,-0.0194
2924.0,3066.0,2436.0,2447.0,3.3725,-0.0808
2588.0,2516.0,2832.0,2984.0,-0.2174,-0.2883
2435.0,2314.0,3100.0,3182.0,-3.4443,-0.5333
2667.0,2549.0,2930.0,2982.0,-3.0407,-0.4581
3029.0,3121.0,2547.0,2522.0,0.976,-0.0288
3017.0,3133.0,2497.0,2385.0,2.9724,0.2487
2617.0,2666.0,2897.0,2900.0,0.8202,0.0425
2386.0,2238.0,3175.0,3215.0,-3.5515,-0.6049
2415.0,2240.0,3087.0,3290.0,-4.6868,-0.644
2324.0,2229.0,3108.0,3223.0,-4.5947,-0.6022
2406.0,2273.0,3090.0,3231.0,-4.7392,-0.4676
2349.0,2262.0,3012.0,3243.0,-4.5479,-0.5943
2409.0,2219.0,3174.0,3212.0,-4.7512,-0.548
2427.0,2318.0,3181.0,3217.0,-4.733,-0.5933
