s1,s2,s3,s4,v_x,v_y
3348.0,3412.0,2384.0,1894.0,20.0,0.6305
3291.0,3415.0,2192.0,2049.0,20.0,0.5216
3334.0,3413.0,2274.0,2010.0,20.0,0.5645
3347.0,3415.0,2202.0,1980.0,20.0,0.4792
3370.0,3413.0,2222.0,1951.0,20.0,0.5343
3084.0,3439.0,2257.0,1993.0,18.1227,0.5109
3351.0,3414.0,2230.0,1963.0,20.0,0.561
3271.0,3479.0,2340.0,2049.0,18.6014,0.5665
3371.0,3410.0,2260.0,1966.0,20.0,0.5158
3295.0,3416.0,2221.0,2034.0,20.0,0.5177
3349.0,3517.0,2181.0,1924.0,20.0,0.5888
3339.0,3495.0,2225.0,1911.0,18.0168,-0.0742
3300.0,3498.0,2193.0,1931.0,20.0,0.4481
3413.0,3409.0,2765.0,2463.0,20.0,0.595
3282.0,3414.0,2260.0,1937.0,17.4145,0.5502
3145.0,3436.0,2217.0,2022.0,18.2007,0.6056
3301.0,3415.0,2253.0,2008.0,18.7409,0.4695
3316.0,3408.0,2186.0,1976.0,18.6897,0.562
3359.0,3410.0,2290.0,1981.0,20.0,0.5765
3348.0,3410.0,2324.0,1985.0,18.5803,0.5811
3373.0,3410.0,2307.0,1931.0,20.0,0.6118
3292.0,3487.0,2311.0,1989.0,18.1913,0.6221
3340.0,3416.0,2219.0,1997.0,20.0,0.5683
3359.0,3412.0,2260.0,1962.0,20.0,0.5697
3346.0,3415.0,2212.0,1992.0,20.0,0.5159
3332.0,3525.0,2308.0,1996.0,20.0,0.5879
3312.0,3408.0,2247.0,1943.0,18.4301,0.5688
3328.0,3413.0,2286.0,1949.0,20.0,0.5497
3351.0,3567.0,2342.0,1950.0,18.5441,0.6143
3372.0,3406.0,2330.0,1980.0,20.0,0.5705
3341.0,3412.0,2354.0,1961.0,20.0,0.5895
3111.0,3437.0,2263.0,2001.0,18.1526,0.5992
3325.0,3420.0,2240.0,1936.0,20.0,0.5686
3362.0,3412.0,2269.0,1962.0,20.0,0.4934
3344.0,3413.0,2261.0,1980.0,20.0,0.5731
3339.0,3410.0,2242.0,1950.0,20.0,0.558
3365.0,3455.0,2327.0,2037.0,18.7137,0.4673
3244.0,3333.0,2411.0,2149.0,14.1882,0.4497
2983.0,3121.0,2578.0,2493.0,3.3485,0.3379
2856.0,2979.0,2593.0,2596.0,1.5296,0.1264
2810.0,2893.0,2613.0,2713.0,0.8005,0.1462
2760.0,2765.0,2777.0,2808.0,0.0598,-0.0366
2726.0,2796.0,2801.0,2776.0,-0.2134,0.0075
2788.0,2820.0,2849.0,2847.0,-0.2209,0.025
2756.0,2800.0,2799.0,2797.0,-0.2598,0.0471
2710.0,2780.0,2721.0,2804.0,-0.6758,-0.1873
2742.0,2812.0,2793.0,2857.0,-0.2804,-0.0442
2758.0,2835.0,2826.0,2836.0,-0.2636,-0.045
2743.0,2763.0,2759.0,2812.0,-0.1979,-0.0751
2714.0,2756.0,2737.0,2836.0,-0.3152,-0.0574
2772.0,2811.0,2832.0,2818.0,-0.2373,0.0073
2713.0,2803.0,2756.0,2807.0,-0.2416,0.0035
2768.0,2805.0,2820.0,2841.0,-0.2715,-0.0575
2757.0,2778.0,2813.0,2820.0,-0.3165,0.0324
2737.0,2801.0,2762.0,2831.0,-0.2683,-0.0413
2770.0,2789.0,2829.0,2804.0,-0.2635,0.0389
2742.0,2807.0,2860.0,2829.0,-0.2861,-0.0399
2716.0,2791.0,2806.0,2798.0,-0.2836,0.0871
2682.0,2764.0,2706.0,2837.0,-0.3081,-0.0387
2722.0,2790.0,2845.0,2797.0,-0.355,-0.0053
2801.0,2773.0,2798.0,2839.0,-0.0902,0.1119
2804.0,2856.0,2880.0,2880.0,-0.2893,-0.0093
2688.0,2785.0,2772.0,2793.0,-0.0597,0.1662
2739.0,2806.0,2864.0,2782.0,-0.2695,0.1015
2781.0,2804.0,2832.0,2870.0,-0.2825,0.0166
2703.0,2776.0,2836.0,2764.0,-0.2932,0.0108
2711.0,2789.0,2774.0,2823.0,-0.2591,-0.0835
2784.0,2785.0,2788.0,2855.0,0.4998,-0.0384
2769.0,2798.0,2851.0,2809.0,-0.0807,0.1261
2740.0,2779.0,2781.0,2823.0,-0.2306,-0.0441
2758.0,2736.0,2788.0,2786.0,-0.2106,-0.1689
2777.0,2759.0,2777.0,2784.0,2.3391,-0.1688
2752.0,2794.0,2841.0,2789.0,-0.0604,-0.3057
2789.0,2806.0,2825.0,2818.0,-0.2426,-0.0167
2738.0,2811.0,2759.0,2871.0,-0.2486,-0.0853
2775.0,2799.0,2777.0,2881.0,-0.2645,-0.0952
2748.0,2815.0,2847.0,2797.0,-0.2474,-0.1304
2756.0,2814.0,2814.0,2808.0,0.3589,0.0028
2774.0,2892.0,2882.0,2833.0,-0.2555,0.1
2745.0,2828.0,2823.0,2798.0,-0.0963,0.2701
2728.0,2798.0,2831.0,2791.0,-0.287,0.0231
2711.0,2762.0,2701.0,2879.0,-0.2328,-0.0559
2720.0,2777.0,2773.0,2837.0,-0.2763,-0.0539
2791.0,2768.0,2800.0,2828.0,-0.0814,0.012
2787.0,2748.0,2772.0,2773.0,-0.1959,-0.1243
2743.0,2806.0,2770.0,2873.0,-0.1933,-0.1353
2741.0,2780.0,2819.0,2824.0,-0.2719,-0.1453
2716.0,2783.0,2770.0,2843.0,-0.3074,-0.0309
2759.0,2791.0,2825.0,2809.0,-0.3035,0.0096
2767.0,2778.0,2783.0,2839.0,-0.3058,-0.1342
2811.0,2790.0,2831.0,2888.0,-0.3558,-0.1377
2762.0,2805.0,2867.0,2836.0,-0.2901,-0.1732
2765.0,2811.0,2769.0,2874.0,-0.3346,-0.0833
2745.0,2755.0,2842.0,2789.0,-0.2371,-0.0551
2781.0,3070.0,2791.0,2826.0,-0.1756,-0.0074
2754.0,2773.0,2855.0,2815.0,-0.3297,-0.0886
2768.0,2772.0,2753.0,2838.0,-0.2162,-0.1634
2769.0,2812.0,2796.0,2869.0,-0.2607,-0.0963
2766.0,2801.0,2826.0,2818.0,-0.2732,-0.0607
2760.0,2805.0,2864.0,2828.0,0.3838,-0.0384
2758.0,2812.0,2779.0,2840.0,-0.2813,-0.0569
2804.0,2811.0,2810.0,2830.0,-0.1935,-0.1872
2698.0,2764.0,2782.0,2778.0,-0.2043,-0.1201
2741.0,2804.0,2844.0,2804.0,0.4351,0.0176
2790.0,2821.0,2854.0,2847.0,-0.3004,-0.0185
2733.0,2824.0,2848.0,2805.0,-0.223,0.0118
2756.0,2788.0,2745.0,2859.0,-0.1142,0.1894
2703.0,2766.0,2711.0,2838.0,-0.0169,-0.0217
2712.0,2791.0,2730.0,2847.0,-0.275,-0.0435
2748.0,2788.0,2801.0,2825.0,-0.2849,-0.0582
2739.0,2744.0,2725.0,2847.0,-0.1477,-0.0834
2762.0,2804.0,2748.0,2827.0,-0.1695,-0.1661
2769.0,2812.0,2779.0,2839.0,-0.22,-0.1142
2763.0,2809.0,2789.0,2876.0,-0.2246,-0.1635
2753.0,2806.0,2762.0,2810.0,-0.1761,-0.1838
2768.0,2796.0,2805.0,2821.0,-0.2157,-0.0679
2744.0,2770.0,2820.0,2749.0,-0.3106,-0.0142
2717.0,2775.0,2757.0,2860.0,-0.2856,-0.0357
2735.0,2819.0,2828.0,2805.0,-0.2796,0.0552
2733.0,2812.0,2798.0,2837.0,-0.6298,-0.0114
2741.0,2785.0,2828.0,2818.0,-0.2661,-0.1071
2737.0,2777.0,2805.0,2810.0,-0.3193,-0.0339
2708.0,2866.0,2845.0,2812.0,-0.2868,0.0899
2727.0,2782.0,2809.0,2806.0,-0.2634,-0.0666
2665.0,2776.0,2789.0,2773.0,-0.313,-0.0016
2730.0,2764.0,2808.0,2789.0,-0.2527,0.0001
2760.0,2766.0,2815.0,2807.0,-0.2834,-0.0024
2748.0,2778.0,2775.0,2844.0,-0.2514,-0.1486
2719.0,2833.0,2823.0,2798.0,-0.2905,0.0095
2759.0,2769.0,2830.0,2855.0,-0.3131,-0.0946
2754.0,2804.0,2825.0,2815.0,-0.0614,0.2027
2713.0,2748.0,2729.0,2836.0,2.2157,-0.0922
2756.0,2768.0,2782.0,2827.0,-0.2609,-0.0605
