s1,s2,s3,s4,v_x,v_y
3416.0,3418.0,2641.0,2053.0,20.0,1.3277
3264.0,3416.0,2568.0,2104.0,18.5139,1.1306
3394.0,3412.0,2549.0,2001.0,20.0,1.2653
3372.0,3408.0,2430.0,1915.0,20.0,1.1555
3407.0,3417.0,2526.0,1943.0,20.0,1.1777
3412.0,3414.0,2511.0,2000.0,20.0,1.1582
3351.0,3409.0,2458.0,1867.0,20.0,1.1981
3403.0,3418.0,2460.0,1859.0,20.0,1.0822
3438.0,3412.0,2471.0,1821.0,20.0,1.2444
3396.0,3417.0,2535.0,1874.0,20.0,1.1244
3393.0,3409.0,2467.0,1864.0,20.0,1.1949
3432.0,3412.0,2517.0,1829.0,20.0,1.2121
3409.0,3419.0,2475.0,1735.0,20.0,1.2854
3385.0,3413.0,2516.0,1823.0,20.0,1.3547
3429.0,3404.0,2465.0,1812.0,18.164,1.3523
3437.0,3409.0,2494.0,1738.0,20.0,1.4151
3436.0,3415.0,2475.0,1775.0,20.0,1.3076
3398.0,3412.0,2433.0,1836.0,20.0,1.1852
3400.0,3420.0,2426.0,1725.0,20.0,1.2517
3397.0,3412.0,2451.0,1850.0,20.0,1.089
3391.0,3407.0,2365.0,1928.0,20.0,1.1596
3359.0,3412.0,2342.0,1918.0,20.0,1.1119
3387.0,3540.0,2450.0,1936.0,20.0,1.0267
3328.0,3540.0,2386.0,1978.0,20.0,0.8836
3324.0,3524.0,2357.0,1970.0,20.0,0.8983
3335.0,3527.0,2382.0,1957.0,18.7903,0.8089
3277.0,3469.0,2337.0,2066.0,17.5127,0.7848
3301.0,3477.0,2460.0,1986.0,18.6517,0.9042
3275.0,3476.0,2443.0,1969.0,17.2289,0.9072
3292.0,3454.0,2365.0,2088.0,17.2622,0.7027
3290.0,3458.0,2430.0,2017.0,18.3998,0.8371
3382.0,3523.0,2351.0,1951.0,20.0,0.8046
3422.0,3420.0,2288.0,1737.0,20.0,0.8321
3423.0,3417.0,2327.0,1803.0,20.0,1.023
3195.0,3372.0,2496.0,2163.0,16.7039,0.8277
3004.0,3191.0,2589.0,2305.0,3.6484,0.9191
2824.0,3001.0,2775.0,2600.0,1.7283,0.4984
2618.0,2862.0,2881.0,2777.0,-0.3152,0.5825
2660.0,2869.0,2854.0,2839.0,-0.2206,0.2645
2689.0,2874.0,2947.0,2832.0,-0.4954,0.5612
2717.0,2854.0,2885.0,2851.0,-0.4453,0.4147
2660.0,2860.0,2958.0,2752.0,-0.5576,0.6892
2647.0,2855.0,2826.0,2788.0,-0.3967,0.5191
2684.0,2889.0,2907.0,2793.0,-0.4801,0.5782
2640.0,2827.0,2887.0,2733.0,-0.4063,0.554
2634.0,2832.0,2840.0,2781.0,-0.4723,0.5119
2597.0,2821.0,2847.0,2759.0,-0.4002,0.6301
2570.0,2757.0,2859.0,2743.0,-0.625,0.538
2616.0,2833.0,2944.0,2764.0,-0.6377,0.59
2619.0,2791.0,2853.0,2769.0,-0.5567,0.4891
2654.0,2836.0,2903.0,2826.0,-0.5163,0.5079
2663.0,2815.0,2899.0,2756.0,-0.434,0.5847
2630.0,2812.0,2785.0,2807.0,-0.4809,0.4612
2631.0,2874.0,2869.0,2806.0,-0.3532,0.5011
2656.0,2873.0,2900.0,2817.0,-0.5016,0.5855
2647.0,2852.0,2926.0,2788.0,-0.5029,0.4668
2644.0,2855.0,2875.0,2806.0,-0.4832,0.4909
2662.0,2826.0,2921.0,2749.0,-0.3862,0.5231
2645.0,2799.0,2839.0,2745.0,-0.3826,0.5054
2647.0,2844.0,2887.0,2786.0,-0.4514,0.5481
2681.0,2867.0,2956.0,2812.0,-0.5757,0.5611
2664.0,2882.0,2940.0,2748.0,-0.4019,0.5447
2591.0,2819.0,2871.0,2781.0,-0.5149,0.5173
2673.0,2836.0,2889.0,2773.0,-0.4556,0.5221
2703.0,2884.0,2901.0,2828.0,-0.4035,0.6003
2680.0,2855.0,2875.0,2753.0,-0.4417,0.6262
2669.0,2847.0,2903.0,2808.0,-0.5315,0.6285
2562.0,2827.0,2893.0,2823.0,-0.5528,0.5004
2719.0,2888.0,2923.0,2810.0,-0.4626,0.5841
2632.0,2841.0,2958.0,2769.0,-0.5598,0.5467
2642.0,2817.0,2914.0,2771.0,-0.5343,0.7455
2605.0,2824.0,2917.0,2788.0,-0.5783,0.4414
2675.0,2864.0,2913.0,2789.0,-0.5432,0.517
2613.0,2849.0,2869.0,2717.0,-0.3875,0.4516
2695.0,2887.0,2973.0,2775.0,-0.4426,0.5445
2723.0,2865.0,2887.0,2786.0,-0.5205,0.5654
2661.0,2840.0,2908.0,2764.0,-0.4888,0.6268
2596.0,2860.0,2897.0,2769.0,-0.535,0.4544
2601.0,2802.0,2892.0,2789.0,-0.5247,0.5199
2607.0,2822.0,2787.0,2772.0,-0.4074,0.5392
2647.0,2775.0,2808.0,2774.0,-0.464,0.4446
2600.0,2804.0,2884.0,2794.0,-0.3276,0.317
2635.0,2769.0,2855.0,2717.0,-0.4243,0.517
2636.0,2789.0,2870.0,2749.0,-0.5253,0.4442
2637.0,2783.0,2893.0,2747.0,-0.4901,0.3921
2619.0,2766.0,2846.0,2748.0,-0.4871,0.4723
2639.0,2792.0,2847.0,2763.0,-0.484,0.4236
2680.0,2847.0,2900.0,2797.0,-0.474,0.405
2653.0,2807.0,2824.0,2778.0,-0.1369,0.1997
2732.0,2876.0,2908.0,2816.0,-0.3805,0.5108
2661.0,2902.0,2949.0,2768.0,-0.4032,0.6395
2666.0,2841.0,2847.0,2848.0,-0.4475,0.5323
2750.0,2852.0,2939.0,2812.0,-0.5449,0.531
2701.0,2858.0,2913.0,2807.0,-0.4277,0.4316
2651.0,2806.0,2853.0,2797.0,-0.6028,0.5801
2655.0,2798.0,2927.0,2788.0,-0.6128,0.5535
2654.0,2822.0,2924.0,2809.0,-0.7995,0.5092
2657.0,2830.0,2912.0,2791.0,-0.6669,0.4203
2642.0,2844.0,2948.0,2806.0,-0.6404,0.4161
2633.0,2805.0,2940.0,2806.0,-0.461,0.2544
2656.0,2741.0,2906.0,2808.0,-0.4143,0.0873
2625.0,2784.0,2836.0,2800.0,-0.6544,0.3572
2705.0,2845.0,2911.0,2857.0,-0.6238,0.4495
2661.0,2842.0,2929.0,2805.0,-0.6415,0.4224
2658.0,2859.0,2880.0,2833.0,-0.3169,0.2079
2652.0,2836.0,2939.0,2783.0,-0.4355,0.2786
2625.0,2825.0,2948.0,2845.0,-0.7216,0.5016
2676.0,2855.0,2890.0,2782.0,-0.5013,0.5042
2723.0,2833.0,2896.0,2780.0,-0.3606,0.5255
2667.0,2838.0,2846.0,2758.0,-0.4038,0.5282
2661.0,2855.0,2893.0,2763.0,-0.3318,0.495
2640.0,2845.0,2812.0,2809.0,-0.4167,0.4605
2700.0,2865.0,2888.0,2821.0,-0.3805,0.5088
2722.0,2846.0,2831.0,2831.0,-0.2763,0.5827
2709.0,2866.0,2908.0,2772.0,0.0604,0.2995
2645.0,2837.0,2791.0,2777.0,-0.276,0.5771
3357.0,2961.0,2804.0,2671.0,0.2483,0.3893
2769.0,2988.0,2738.0,2693.0,1.0739,0.5764
2588.0,2725.0,3044.0,2954.0,-1.3989,0.0263
2671.0,2869.0,2911.0,2776.0,-0.7387,0.5001
