s1,s2,s3,s4,v_x,v_y
2404.0,2803.0,3098.0,2841.0,-1.5651,1.3533
2348.0,2728.0,2998.0,2863.0,-1.7874,1.2086
2430.0,2817.0,3132.0,2853.0,-1.7905,1.2544
2418.0,2875.0,3081.0,2913.0,-1.7753,1.2579
2421.0,2788.0,3061.0,2881.0,-1.7656,1.2723
2435.0,2804.0,3093.0,2828.0,-1.8365,1.4144
2373.0,2843.0,3056.0,2840.0,-1.7075,1.3438
2426.0,2819.0,3102.0,2886.0,-1.8036,1.3187
2442.0,2891.0,2997.0,2719.0,-1.2473,1.3764
2569.0,2984.0,2981.0,2636.0,-0.419,1.362
2590.0,2970.0,2849.0,2597.0,0.0797,1.315
2641.0,2993.0,2916.0,2603.0,0.726,1.4298
2574.0,2964.0,2967.0,2565.0,0.0897,1.4049
2618.0,2985.0,2983.0,2543.0,0.0815,1.4361
2572.0,2938.0,2837.0,2570.0,0.2614,1.5911
2588.0,2956.0,2903.0,2585.0,0.0616,1.4285
2565.0,2948.0,2933.0,2511.0,0.0515,1.4665
2618.0,2990.0,2919.0,2560.0,0.1686,1.4248
2524.0,2958.0,2889.0,2551.0,0.1054,1.3911
2624.0,2964.0,2928.0,2566.0,0.0486,1.341
2527.0,2944.0,2887.0,2593.0,0.0391,1.265
2596.0,2985.0,2902.0,2599.0,0.0907,1.2575
2560.0,2940.0,2883.0,2573.0,-0.0273,1.4081
2573.0,2938.0,2911.0,2527.0,0.0826,1.3188
2560.0,2919.0,2828.0,2517.0,0.0392,1.2701
2556.0,2870.0,2821.0,2535.0,0.0069,1.161
2537.0,2928.0,2909.0,2529.0,0.0251,1.2314
2586.0,2948.0,2900.0,2579.0,0.0115,1.2012
2527.0,2947.0,2911.0,2541.0,0.019,1.1398
2620.0,2924.0,2887.0,2647.0,0.0551,0.9496
2605.0,2935.0,2896.0,2637.0,0.0191,0.9624
2554.0,2893.0,2890.0,2536.0,0.0484,1.0005
3298.0,2848.0,2807.0,2585.0,0.2009,0.7482
2589.0,2820.0,2767.0,2609.0,-0.0861,0.8623
2640.0,2853.0,2873.0,2612.0,-0.0076,0.8614
2647.0,2892.0,2865.0,2668.0,-0.0313,0.7223
2629.0,2917.0,2797.0,2692.0,0.0151,0.7135
2614.0,2881.0,2880.0,2638.0,-0.04,0.7581
2639.0,2799.0,2772.0,2612.0,-0.0321,0.6027
2669.0,2833.0,2820.0,2689.0,-0.1018,0.5715
2649.0,2827.0,2765.0,2697.0,0.1263,0.3376
2651.0,2766.0,2810.0,2626.0,-0.1256,0.5156
2600.0,2798.0,2773.0,2656.0,-0.1837,0.4061
2660.0,2871.0,2846.0,2688.0,-0.1845,0.4352
2652.0,2792.0,2784.0,2776.0,-0.2864,0.3664
2635.0,2748.0,2821.0,2693.0,-0.3353,0.3809
2649.0,2787.0,2839.0,2738.0,-0.3087,0.3662
2610.0,2752.0,2737.0,2757.0,-0.2854,0.2326
2631.0,2759.0,2836.0,2749.0,-0.4564,0.2098
2651.0,2755.0,2867.0,2748.0,-0.4151,0.1947
2673.0,2738.0,2777.0,2800.0,-0.4175,2.5062
2616.0,2719.0,2803.0,2821.0,-0.612,0.0469
2585.0,2682.0,2728.0,2796.0,-0.6347,-0.1142
2603.0,2641.0,2792.0,2837.0,-0.7349,-0.0205
2653.0,2692.0,2869.0,2850.0,-0.158,0.679
2609.0,2708.0,2791.0,2854.0,-0.7085,-0.0257
2596.0,2663.0,2791.0,2823.0,-0.7422,-0.0966
2656.0,2658.0,2850.0,2797.0,-0.688,-0.0915
2610.0,2652.0,2766.0,2837.0,-0.7273,-0.1453
2657.0,2655.0,2834.0,2797.0,-0.7554,-0.1282
2572.0,2686.0,2877.0,2785.0,-0.7392,-0.111
2625.0,2688.0,2837.0,2829.0,-0.7255,-0.0157
2615.0,2646.0,2746.0,2904.0,-0.7783,-0.0922
2678.0,2678.0,2783.0,2852.0,-0.7612,-0.0373
2773.0,2925.0,2709.0,2744.0,-0.1537,0.0756
3254.0,3442.0,2627.0,2604.0,1.5608,0.1231
2797.0,2836.0,2689.0,2708.0,0.5286,0.0351
2727.0,3498.0,2711.0,2748.0,0.3194,0.0966
2716.0,2744.0,2751.0,2722.0,-0.0853,-0.0249
2695.0,2708.0,2757.0,2722.0,-0.0883,-0.0438
2751.0,2832.0,2813.0,2773.0,-0.1244,-0.0516
2677.0,2765.0,2723.0,2729.0,-0.1385,-0.0362
2702.0,2744.0,2691.0,2784.0,-0.208,-0.0685
2688.0,2780.0,2706.0,2769.0,-0.1369,-0.1204
2685.0,2742.0,2788.0,2744.0,0.0338,0.1697
2665.0,2718.0,2703.0,2783.0,-0.2395,-0.1877
3305.0,3440.0,2734.0,2791.0,2.3402,-0.1878
2751.0,2757.0,2751.0,2776.0,-0.1434,-0.1411
2746.0,2773.0,2689.0,2791.0,-0.1106,-0.1638
2723.0,2745.0,2761.0,2719.0,-0.0793,-0.1744
2762.0,2806.0,2745.0,2821.0,-0.0651,-0.1047
2690.0,2727.0,2631.0,2734.0,-0.0435,-0.199
