s1,s2,s3,s4,v_x,v_y
2610.0,2526.0,3188.0,3236.0,-4.6135,-0.6106
2557.0,2473.0,3126.0,3215.0,-4.1065,-0.5715
2488.0,2489.0,3071.0,3212.0,-4.0554,-0.5361
2497.0,2479.0,3089.0,3225.0,-3.9587,-0.37
2480.0,2463.0,3140.0,3189.0,-3.9199,-0.3967
2515.0,2448.0,3170.0,3173.0,-3.999,-0.4858
2462.0,2372.0,3084.0,3209.0,-3.7297,-0.4893
2533.0,2527.0,3092.0,3223.0,-3.6349,-0.3305
2488.0,2507.0,3116.0,3201.0,-3.938,-0.358
2470.0,2434.0,3102.0,3216.0,-3.7433,-0.4445
2574.0,2492.0,3152.0,3233.0,-3.8166,-0.481
2429.0,2458.0,3044.0,3160.0,-3.8531,-0.3495
2485.0,2459.0,3121.0,3225.0,-4.0045,-0.3373
2519.0,2482.0,3054.0,3236.0,-3.7829,-0.4159
2503.0,2425.0,3146.0,3197.0,-4.0113,-0.2959
2446.0,2426.0,3044.0,3197.0,-3.8047,-0.3897
2548.0,2473.0,3114.0,3182.0,-3.8205,-0.4281
2481.0,2473.0,3111.0,3212.0,-3.68,-0.3631
2448.0,2480.0,3122.0,3212.0,-4.0705,-0.3387
2508.0,2418.0,3129.0,3188.0,-3.984,-0.3334
2388.0,2456.0,3080.0,3190.0,-3.8713,-0.3279
2447.0,2407.0,3111.0,3204.0,-3.995,-0.3912
2512.0,2463.0,3157.0,3190.0,-3.9391,-0.3978
2463.0,2457.0,3036.0,3197.0,-3.8616,-0.3978
2466.0,2348.0,3148.0,3172.0,-4.1952,-0.2145
2449.0,2482.0,3156.0,3220.0,-4.0173,-0.2383
2408.0,2360.0,3095.0,3187.0,-3.9088,-0.3025
2427.0,2429.0,3118.0,3207.0,-3.8744,-0.2226
2471.0,2415.0,3173.0,3208.0,-3.9422,-0.3227
2403.0,2300.0,3194.0,3284.0,-5.7612,-0.5032
2398.0,2350.0,3233.0,3286.0,-5.895,-0.4655
2330.0,2235.0,3332.0,3351.0,-13.2683,-0.4193
2217.0,1958.0,3428.0,3428.0,-18.5481,-0.4043
2307.0,2100.0,3376.0,3460.0,-20.0,-0.5014
2612.0,2586.0,2949.0,2972.0,-3.3666,-0.2881
2509.0,2501.0,3063.0,3071.0,-1.5377,-0.0973
2397.0,2342.0,3173.0,3172.0,-4.3362,-0.3002
2396.0,2333.0,3248.0,3262.0,-5.2253,-0.3488
2406.0,2267.0,3242.0,3327.0,-8.7365,-0.4268
2366.0,2221.0,3205.0,3325.0,-11.6945,-0.4433
2444.0,2467.0,3091.0,3127.0,-4.0322,-0.2967
2488.0,2469.0,2999.0,3121.0,-3.107,-0.3925
2408.0,2384.0,3195.0,3216.0,-3.8459,-0.2304
