s1,s2,s3,s4,v_x,v_y
2446.0,2453.0,3315.0,3309.0,-17.5524,0.1631
2283.0,2321.0,3317.0,3268.0,-12.4782,0.096
2379.0,2497.0,3320.0,3286.0,-9.8936,0.0779
2307.0,2373.0,3342.0,3266.0,-9.0997,0.1208
2317.0,2390.0,3317.0,3305.0,-12.3759,0.092
2268.0,2354.0,3265.0,3265.0,-9.0327,0.0687
2253.0,2379.0,3255.0,3295.0,-7.5389,0.1253
2331.0,2415.0,3239.0,3292.0,-7.3367,0.0484
2346.0,2394.0,3297.0,3253.0,-11.3767,-0.0136
2441.0,2482.0,3213.0,3179.0,-5.5395,0.0552
2482.0,2578.0,3161.0,3106.0,-3.8336,0.0645
2574.0,2658.0,3071.0,3012.0,-2.5339,0.1459
2524.0,2747.0,2856.0,2890.0,-1.5472,0.2363
2620.0,2863.0,2825.0,2876.0,-0.8242,0.2604
2773.0,2941.0,2641.0,2649.0,0.3318,0.3028
2897.0,3111.0,2668.0,2487.0,1.9177,0.3954
3007.0,3178.0,2543.0,2420.0,3.1008,0.4282
3157.0,3348.0,2506.0,2274.0,4.223,0.8177
3245.0,3466.0,2308.0,2036.0,11.3652,0.6618
3341.0,3533.0,2251.0,1983.0,15.2564,0.5818
3366.0,3417.0,2294.0,1858.0,20.0,0.8194
3358.0,3414.0,2370.0,1775.0,20.0,0.8523
3371.0,3406.0,2377.0,1826.0,20.0,0.96
3412.0,3406.0,2365.0,1774.0,20.0,1.0112
3417.0,3418.0,2377.0,1797.0,20.0,1.0982
3415.0,3405.0,2248.0,1847.0,18.6174,0.9907
3391.0,3411.0,2399.0,1815.0,20.0,1.0602
3414.0,3412.0,2341.0,1730.0,20.0,1.0251
3356.0,3498.0,2357.0,1986.0,20.0,0.8379
3296.0,3502.0,2399.0,2107.0,20.0,0.6401
2878.0,3070.0,2564.0,2525.0,3.8297,0.681
2740.0,2894.0,2855.0,2729.0,1.1252,0.5164
