s1,s2,s3,s4,v_x,v_y
2400.0,1978.0,3425.0,3423.0,-20.0,-0.8326
2237.0,1876.0,3412.0,3425.0,-20.0,-0.7215
2201.0,1893.0,3422.0,3417.0,-20.0,-0.6491
2263.0,1905.0,3419.0,3413.0,-20.0,-0.7172
2208.0,1933.0,3417.0,3425.0,-20.0,-0.748
2185.0,1896.0,3580.0,3416.0,-20.0,-0.6401
2240.0,1835.0,3422.0,3414.0,-20.0,-0.7719
2194.0,1884.0,3416.0,3421.0,-20.0,-0.697
2225.0,1832.0,3422.0,3426.0,-20.0,-0.7129
2197.0,1808.0,3487.0,3432.0,-20.0,-0.7256
2181.0,1820.0,3422.0,3413.0,-20.0,-0.6443
2129.0,1887.0,3416.0,3416.0,-20.0,-0.6519
2151.0,1927.0,3412.0,3423.0,-20.0,-0.5989
2101.0,1840.0,3447.0,3412.0,-20.0,-0.613
2264.0,2094.0,3348.0,3354.0,-20.0,-0.4499
2304.0,2257.0,3224.0,3256.0,-11.7994,-0.3512
2494.0,2508.0,2990.0,3001.0,-3.4548,-0.3027
2684.0,2756.0,2753.0,2806.0,-0.6583,-0.1611
2708.0,2777.0,2755.0,2823.0,-0.2743,-0.1593
2673.0,2748.0,2758.0,2786.0,-0.3252,-0.0845
2740.0,2767.0,2740.0,2839.0,-0.2828,-0.1297
2689.0,2699.0,2745.0,2765.0,-0.2731,-0.1193
2754.0,2778.0,2732.0,2847.0,-0.3063,-0.0786
2713.0,2770.0,2725.0,2852.0,-0.2932,-0.1484
2685.0,2793.0,2708.0,2784.0,-0.2392,-0.1339
2652.0,2765.0,2666.0,2783.0,-0.2838,-0.1209
2743.0,2847.0,2727.0,2759.0,-0.227,-0.1983
3062.0,3152.0,2449.0,2300.0,1.9695,0.3151
3216.0,3313.0,2247.0,2135.0,5.1578,0.389
3338.0,3468.0,2067.0,1980.0,18.6294,0.0766
3406.0,3533.0,2063.0,1914.0,20.0,0.2454
3372.0,3415.0,2026.0,1835.0,20.0,0.351
3420.0,3418.0,2045.0,1804.0,20.0,0.2755
3413.0,3414.0,2036.0,1824.0,18.7604,0.3879
3373.0,3412.0,1998.0,1899.0,20.0,0.2779
3412.0,3412.0,2064.0,1865.0,20.0,0.3539
3358.0,3421.0,2162.0,1856.0,20.0,0.351
3413.0,3418.0,2116.0,1941.0,20.0,0.2492
3415.0,3420.0,2199.0,1916.0,20.0,0.3517
3419.0,3415.0,2009.0,1971.0,18.5539,0.3012
3289.0,3412.0,2097.0,1895.0,20.0,0.2843
3412.0,3408.0,1937.0,1850.0,20.0,0.2503
3365.0,3412.0,2018.0,1880.0,18.7145,0.2575
3412.0,3408.0,2032.0,1909.0,20.0,0.1963
3414.0,3404.0,1942.0,1938.0,20.0,0.2044
3463.0,3540.0,1998.0,1834.0,20.0,0.1878
3411.0,3410.0,2002.0,1911.0,20.0,0.2326
3418.0,3421.0,2002.0,1785.0,18.7608,0.2267
3358.0,3408.0,2030.0,1871.0,20.0,0.2626
3381.0,3407.0,2034.0,1902.0,20.0,0.1652
3356.0,3415.0,2071.0,1803.0,18.0766,0.3174
3356.0,3416.0,1995.0,1886.0,20.0,0.2233
3412.0,3409.0,1933.0,1887.0,20.0,0.221
3409.0,3414.0,2045.0,1927.0,20.0,0.1692
3418.0,3420.0,2004.0,1786.0,20.0,0.2857
3414.0,3408.0,2038.0,1908.0,20.0,0.2024
3414.0,3413.0,2049.0,1849.0,20.0,0.2602
3376.0,3412.0,2027.0,1941.0,20.0,0.2159
3411.0,3414.0,2045.0,1789.0,20.0,0.2505
3103.0,3432.0,1979.0,1903.0,18.1755,0.1806
3415.0,3410.0,2004.0,1888.0,20.0,0.294
3341.0,3408.0,2159.0,1869.0,20.0,0.2794
3366.0,3417.0,2099.0,1948.0,20.0,0.304
3373.0,3418.0,2064.0,1911.0,18.6088,0.2133
3366.0,3415.0,2021.0,1867.0,20.0,0.297
3359.0,3415.0,2077.0,1969.0,20.0,0.3512
3280.0,3412.0,2048.0,1851.0,18.782,0.2441
3414.0,3415.0,2079.0,1898.0,20.0,0.2884
3418.0,3409.0,1998.0,1957.0,20.0,0.2336
3421.0,3419.0,2078.0,1929.0,20.0,0.1806
3359.0,3409.0,1970.0,1929.0,20.0,0.2268
3415.0,3417.0,2096.0,1880.0,20.0,0.2416
3364.0,3420.0,2079.0,1884.0,18.6799,0.2068
3409.0,3413.0,1941.0,1840.0,20.0,0.2164
3423.0,3416.0,2019.0,1888.0,20.0,0.2068
3417.0,3420.0,2082.0,1884.0,20.0,0.1687
3340.0,3413.0,1948.0,1853.0,20.0,0.1836
3292.0,3404.0,2117.0,2125.0,20.0,0.1572
2891.0,3045.0,2605.0,2596.0,3.9315,0.2708
2631.0,2700.0,2800.0,2852.0,-0.0805,-0.123
2566.0,2567.0,2932.0,3033.0,-1.7488,-0.2854
2546.0,2603.0,2941.0,2996.0,-1.9277,-0.2047
2647.0,2602.0,2905.0,3048.0,-1.7928,-0.3277
2561.0,2534.0,2951.0,2992.0,-1.8326,-0.3178
2608.0,2508.0,2940.0,2983.0,-1.8553,-0.2497
2605.0,2549.0,2938.0,3011.0,-1.8843,-0.2968
2577.0,2560.0,2956.0,3052.0,-1.9788,-0.2214
2399.0,2323.0,3210.0,3231.0,-3.5974,-0.2711
2292.0,2008.0,3455.0,3462.0,-16.3394,-0.4472
2205.0,1805.0,3423.0,3413.0,-20.0,-0.683
2420.0,2112.0,3421.0,3413.0,-20.0,-0.7738
2796.0,2519.0,3424.0,3418.0,-20.0,-0.8475
2976.0,2702.0,3417.0,3422.0,-20.0,-1.2842
2159.0,1733.0,3413.0,3414.0,-20.0,-0.7763
2283.0,2093.0,3228.0,3352.0,-18.3493,-0.6079
2377.0,2245.0,3136.0,3227.0,-4.6106,-0.498
2438.0,2259.0,3110.0,3252.0,-4.8521,-0.5372
2462.0,2292.0,3192.0,3228.0,-4.8214,-0.4628
2408.0,2227.0,3104.0,3224.0,-4.7607,-0.5712
2439.0,2304.0,3189.0,3234.0,-4.7914,-0.4811
2455.0,2373.0,3188.0,3251.0,-4.7548,-0.5718
2290.0,1961.0,3500.0,3423.0,-16.5175,-0.5435
2208.0,1845.0,3541.0,3431.0,-20.0,-0.7197
2223.0,2041.0,3442.0,3467.0,-20.0,-0.6264
2202.0,1937.0,3406.0,3445.0,-18.8012,-0.5369
2187.0,1996.0,3422.0,3447.0,-18.7233,-0.4704
2145.0,1800.0,3422.0,3428.0,-20.0,-0.6766
2194.0,1799.0,3420.0,3414.0,-20.0,-0.7248
2187.0,1801.0,3424.0,3424.0,-20.0,-0.7563
2133.0,1752.0,3414.0,3422.0,-20.0,-0.7747
2241.0,1737.0,3423.0,3416.0,-20.0,-0.8723
2252.0,1752.0,3415.0,3421.0,-20.0,-0.8442
2143.0,1816.0,3417.0,3428.0,-20.0,-0.8387
2241.0,1792.0,3415.0,3423.0,-20.0,-0.798
2188.0,1756.0,3407.0,3419.0,-20.0,-0.815
