00676459;2271;2617;0034;0032;+2.850;+0.158
00763690;2313;2651;0034;0032;+2.941;+0.155
00851004;2339;2676;0034;0032;+3.004;+0.156
00938234;2361;2702;0032;0032;+3.065;+0.158
01025562;2396;2725;0030;0032;+3.142;+0.151
01112800;2415;2748;0034;0030;+3.198;+0.157
01200121;2465;2792;0030;0032;+3.330;+0.153
01287360;2501;2824;0033;0032;+3.430;+0.153
01374596;2530;2843;0032;0032;+3.504;+0.148
01461916;2568;2877;0034;0034;+3.618;+0.147
01549154;2614;2916;0034;0030;+3.763;+0.147
01636476;2654;2950;0034;0032;+3.896;+0.144
01723714;2708;2994;0034;0032;+4.087;+0.140
01811036;2747;3031;0032;0032;+4.248;+0.139
01898278;2800;3416;0033;0032;+5.220;+0.305
01985519;2836;3411;0035;0030;+5.350;+0.286
02072852;2867;3416;0032;0032;+5.469;+0.264
02160082;3418;3415;0032;0032;+20.000;-0.007
02247403;3417;3413;0032;0032;+20.000;-0.007
02334635;3416;3415;0032;0032;+20.000;-0.007
02421873;3417;3414;0032;0026;+20.000;-0.003
02509200;3419;3414;0040;0032;+20.000;-0.001
02596437;3420;3415;0032;0032;+20.000;-0.007
02683753;3418;3415;0033;0032;+20.000;-0.006
02770986;3420;3413;0032;0032;+20.000;-0.007
02858317;3420;3415;0035;0032;+20.000;-0.005
02945559;3420;3415;0034;0030;+20.000;-0.004
03032804;3418;3413;0032;0030;+20.000;-0.005
03120054;3417;3416;0034;0027;+20.000;-0.002
03207383;3421;3414;0032;0032;+20.000;-0.007
03294622;3420;3415;0032;0032;+20.000;-0.007
03381956;3418;3415;0032;0027;+20.000;-0.003
03469198;3415;3414;0033;0032;+20.000;-0.006
03556438;3418;3414;0032;0032;+20.000;-0.007
03643770;3417;3414;0034;0032;+20.000;-0.005
03731014;3418;3416;0034;0032;+20.000;-0.005
03818258;3418;3414;0032;0032;+20.000;-0.007
03905583;3417;3413;0034;0034;+20.000;-0.007
03992816;3418;3415;0032;0032;+20.000;-0.007
04080052;3415;3415;0034;0032;+20.000;-0.005
04167376;3418;3416;0032;0029;+20.000;-0.005
04254618;3420;3414;0035;0032;+20.000;-0.005
04341947;3420;3414;0033;0032;+20.000;-0.006
04429181;3420;3414;0032;0032;+20.000;-0.007
04516422;3415;3413;0032;0030;+20.000;-0.005
04603750;3418;3413;0033;0027;+20.000;-0.003
04690988;3420;3414;0034;0032;+20.000;-0.005
04778316;3419;3413;0034;0032;+20.000;-0.005
04865550;3415;3415;0032;0032;+20.000;-0.007
04952793;3418;3416;0032;0032;+20.000;-0.007
05040119;3417;3413;0031;0032;+20.000;-0.007
05127361;3417;3411;0036;0031;+20.000;-0.003
05214607;3420;3415;0033;0032;+20.000;-0.006
05301938;3418;3414;0034;0032;+20.000;-0.005
05389182;3419;3414;0033;0027;+20.000;-0.003
05476426;3417;3415;0032;0032;+20.000;-0.007
05563757;3419;3414;0032;0030;+20.000;-0.005
05651002;3418;3414;0033;0036;+20.000;-0.009
05738250;3415;3415;0034;0031;+20.000;-0.005
05825581;3417;3413;0033;0032;+20.000;-0.006
05912822;3416;3416;0032;0032;+20.000;-0.007
06000069;3415;3414;0033;0030;+20.000;-0.005
06087403;3416;3415;0031;0032;+20.000;-0.007
06174643;3415;3416;0035;0029;+20.000;-0.003
06261880;3417;3414;0032;0034;+20.000;-0.008
06349203;3417;3415;0034;0032;+20.000;-0.005
06436447;3418;3414;0030;0032;+20.000;-0.008
06523690;3416;3414;0033;0033;+20.000;-0.007
06611021;3418;3415;0033;0032;+20.000;-0.006
06698270;3419;3415;0032;0032;+20.000;-0.007
06785517;3418;3415;0034;0032;+20.000;-0.005
06872846;3420;3415;0032;0032;+20.000;-0.007
06960080;3419;3414;0032;0032;+20.000;-0.007
07047405;3417;3415;0034;0031;+20.000;-0.005
07134643;3420;3415;0032;0032;+20.000;-0.007
07221879;3420;3415;0034;0033;+20.000;-0.006
07309211;3419;3413;0033;0032;+20.000;-0.006
07396455;3415;3413;0032;0032;+20.000;-0.007
07483688;3417;3414;0033;0032;+20.000;-0.006
07571011;3418;3415;0036;0034;+20.000;-0.005
07658243;3416;3414;0030;0032;+20.000;-0.008
07745560;3419;3413;0034;0030;+20.000;-0.004
00023770;3418;3414;0034;0034;+20.000;-0.007
00111092;3415;3413;0033;0032;+20.000;-0.006
00198333;3418;3413;0034;0034;+20.000;-0.007
00285572;3420;3413;0034;0029;+20.000;-0.003
00372898;3419;3414;0032;0027;+20.000;-0.003
00460136;3416;3416;0033;0032;+20.000;-0.006
00547465;3418;3414;0032;0032;+20.000;-0.007
00634703;3417;3414;0033;0032;+20.000;-0.006
00721934;3418;3413;0033;0032;+20.000;-0.006
00809259;3420;3413;0032;0032;+20.000;-0.007
00896496;3419;3413;0032;0032;+20.000;-0.007
00983824;3417;3413;0032;0032;+20.000;-0.007
01071067;3418;3413;0033;0032;+20.000;-0.006
01158301;3419;3412;0034;0033;+20.000;-0.006
01245630;3418;3413;0034;0032;+20.000;-0.005
01332871;3418;3415;0033;0032;+20.000;-0.006
01420195;3418;3414;0034;0032;+20.000;-0.005
