T,s1,s2,s3,s4,v_x,v_y
6892548,16,36,122,182,-000.0940,-000.0300
6892635,16,34,128,192,-000.1000,-000.0320
6892723,18,36,128,165,-000.0890,-000.0230
6892810,13,33,107,168,-000.0860,-000.0300
6892898,15,35,116,158,-000.0840,-000.0240
6892985,15,34,131,167,-000.0930,-000.0220
6893072,14,36,114,173,-000.0880,-000.0290
6893160,15,36,115,178,-000.0900,-000.0310
6893247,16,33,118,178,-000.0920,-000.0310
6893334,16,33,114,160,-000.0840,-000.0260
6978895,14,35,128,163,-000.0900,-000.0210
6978919,15,32,128,161,-000.0900,-000.0220
6978987,16,32,114,171,-000.0880,-000.0300
6979074,16,33,112,147,-000.0790,-000.0220
6979161,14,33,108,163,-000.0840,-000.0280
6979249,17,32,141,188,-000.1040,-000.0270
6979336,11,31,115,166,-000.0890,-000.0270
6979423,16,32,112,176,-000.0890,-000.0330
6979511,14,32,112,174,-000.0890,-000.0310
6979598,14,32,121,156,-000.0860,-000.0220
6979685,7,32,112,157,-000.0860,-000.0230
6979773,14,32,114,157,-000.0840,-000.0250
6979860,14,29,115,160,-000.0870,-000.0260
6979947,16,32,105,140,-000.0740,-000.0230
6980034,16,32,106,153,-000.0790,-000.0270
6980122,14,32,106,164,-000.0840,-000.0300
6980209,13,32,115,164,-000.0870,-000.0260
6980297,13,32,107,163,-000.0840,-000.0290
6980384,17,32,110,144,-000.0770,-000.0230
6980471,14,32,110,153,-000.0810,-000.0250
6980558,13,32,106,147,-000.0780,-000.0240
6980646,16,32,121,162,-000.0880,-000.0250
6980733,14,32,142,173,-000.1000,-000.0210
6980820,14,35,133,163,-000.0920,-000.0190
6980907,15,32,115,166,-000.0870,-000.0280
6980995,14,33,108,144,-000.0770,-000.0220
6981082,12,34,113,163,-000.0860,-000.0260
6981169,14,32,113,168,-000.0880,-000.0290
6981257,16,33,128,160,-000.0890,-000.0210
6981344,14,33,115,171,-000.0890,-000.0290
6981431,14,32,115,152,-000.0830,-000.0230
6981519,16,36,146,177,-000.1000,-000.0200
6981606,18,32,115,154,-000.0820,-000.0250
6981693,16,32,101,160,-000.0800,-000.0310
6981780,15,32,128,179,-000.0960,-000.0280
6981868,14,32,115,163,-000.0870,-000.0260
6981955,16,32,128,166,-000.0920,-000.0240
6982042,14,32,110,170,-000.0870,-000.0300
6982130,15,29,107,146,-000.0790,-000.0250
6982217,16,32,111,158,-000.0830,-000.0270
6982304,17,32,108,153,-000.0800,-000.0260
6982392,14,32,111,172,-000.0880,-000.0310
6982479,16,32,114,161,-000.0850,-000.0270
6982566,16,32,111,173,-000.0880,-000.0320
6982653,16,33,107,153,-000.0790,-000.0260
6982741,13,32,107,156,-000.0820,-000.0260
6982828,16,32,104,143,-000.0750,-000.0240
6982915,16,32,119,154,-000.0840,-000.0230
6983003,14,32,110,147,-000.0790,-000.0230
6983090,11,34,115,174,-000.0910,-000.0280
6983177,16,32,104,145,-000.0760,-000.0250
6983264,12,32,120,152,-000.0850,-000.0200
6983352,13,32,110,178,-000.0900,-000.0330
6983439,16,32,112,171,-000.0880,-000.0310
6983527,16,34,108,161,-000.0820,-000.0280
6983614,15,32,115,175,-000.0910,-000.0310
6983701,12,33,120,186,-000.0970,-000.0320
6983788,16,33,143,176,-000.1000,-000.0220
6983876,13,32,113,176,-000.0910,-000.0310
6983963,13,32,105,164,-000.0840,-000.0300
6984050,16,36,128,158,-000.0870,-000.0200
6984138,14,32,118,176,-000.0920,-000.0300
6984225,14,32,115,174,-000.0910,-000.0300
6984312,13,32,110,172,-000.0880,-000.0310
6984399,12,32,113,180,-000.0930,-000.0320
6984487,14,33,107,173,-000.0870,-000.0320
6984574,14,32,107,154,-000.0810,-000.0260
6984661,16,33,106,150,-000.0780,-000.0250
6984749,13,40,113,155,-000.0810,-000.0210
6984836,15,33,147,184,-000.1050,-000.0230
6984923,17,31,128,190,-000.1000,-000.0330
6985011,14,32,114,155,-000.0840,-000.0240
6985098,14,32,114,182,-000.0930,-000.0330
6985185,14,36,128,154,-000.0870,-000.0170
6985273,13,36,138,168,-000.0950,-000.0190
6985360,16,33,128,163,-000.0900,-000.0220
6985447,16,36,121,155,-000.0840,-000.0210
6985535,18,36,109,152,-000.0780,-000.0250
6985622,14,32,104,155,-000.0800,-000.0270
6985709,16,32,128,179,-000.0960,-000.0280
7061075,14,32,113,149,-000.0810,-000.0220
7061144,14,32,115,147,-000.0810,-000.0210
7061232,15,33,106,146,-000.0770,-000.0240
7061319,12,32,107,146,-000.0790,-000.0230
7061407,16,31,115,162,-000.0860,-000.0270
7061494,16,32,117,147,-000.0810,-000.0210
7061581,18,32,128,155,-000.0870,-000.0210
7061669,13,33,112,168,-000.0870,-000.0280
7061756,14,33,108,173,-000.0870,-000.0320
7061843,16,32,104,159,-000.0810,-000.0290
7061931,14,33,112,166,-000.0860,-000.0280
7062018,15,34,108,149,-000.0780,-000.0240
7062105,11,34,115,157,-000.0850,-000.0230
7062192,17,36,137,172,-000.0950,-000.0220
7062280,16,32,124,189,-000.0980,-000.0330
7062367,11,35,101,141,-000.0740,-000.0220
7062454,13,32,107,152,-000.0800,-000.0250
7062542,15,32,144,176,-000.1010,-000.0210
7062629,16,32,128,178,-000.0960,-000.0280
7062716,14,33,130,153,-000.0880,-000.0170
7062804,15,33,97,145,-000.0730,-000.0260
7062891,20,32,106,154,-000.0780,-000.0280
7062978,18,32,113,154,-000.0810,-000.0250
7063066,16,32,144,186,-000.1040,-000.0250
7063153,14,32,128,162,-000.0910,-000.0220
7063240,14,33,117,185,-000.0950,-000.0330
7063327,16,32,105,143,-000.0760,-000.0240
7063415,14,32,111,162,-000.0850,-000.0270
7063502,17,32,105,154,-000.0790,-000.0280
7063589,15,32,122,169,-000.0910,-000.0260
7063677,14,32,128,162,-000.0910,-000.0220
7063764,16,32,120,173,-000.0910,-000.0290
7063851,7,32,109,160,-000.0860,-000.0250
7063939,15,29,121,194,-000.1000,-000.0360
7064026,13,32,116,193,-000.0980,-000.0360
7064113,16,32,118,139,-000.0790,-000.0180
7064200,16,32,118,160,-000.0860,-000.0250
7064288,14,32,128,178,-000.0960,-000.0270
7064375,16,32,112,150,-000.0800,-000.0240
7064462,13,34,112,162,-000.0850,-000.0260
7064550,14,32,122,195,-000.1000,-000.0350
7064637,16,32,115,160,-000.0850,-000.0260
7064724,16,33,146,169,-000.0990,-000.0180
7064812,14,32,110,144,-000.0780,-000.0220
7064899,11,32,105,168,-000.0860,-000.0300
7064986,14,32,99,160,-000.0800,-000.0310
7065073,12,33,113,172,-000.0890,-000.0290
7065161,14,36,120,139,-000.0790,-000.0150
7065248,17,32,114,160,-000.0840,-000.0270
7065335,16,32,137,182,-000.1000,-000.0260
7065423,13,33,112,149,-000.0810,-000.0220
7065510,14,33,108,149,-000.0790,-000.0240
7065597,14,30,105,156,-000.0810,-000.0280
7065685,14,36,118,160,-000.0850,-000.0230
7065772,15,29,128,154,-000.0890,-000.0200
7065859,16,32,121,152,-000.0840,-000.0210
7065946,14,32,123,186,-000.0980,-000.0320
7066033,14,31,112,169,-000.0880,-000.0300
7066121,16,32,128,173,-000.0940,-000.0260
7066208,14,32,122,155,-000.0860,-000.0210
7066296,14,32,112,153,-000.0820,-000.0240
7066383,16,32,122,156,-000.0860,-000.0220
7066470,13,32,131,164,-000.0930,-000.0210
7066557,13,34,115,168,-000.0880,-000.0270
7066645,17,32,115,177,-000.0910,-000.0320
7066732,14,32,107,163,-000.0840,-000.0290
7066819,16,34,136,194,-000.1040,-000.0300
7066907,15,34,134,170,-000.0950,-000.0220
7066994,13,35,124,162,-000.0890,-000.0220
7067081,16,32,118,149,-000.0820,-000.0210
7067169,16,32,116,152,-000.0830,-000.0230
7067256,12,32,105,144,-000.0770,-000.0230
7067343,14,33,134,187,-000.1010,-000.0280
7067430,14,34,128,158,-000.0890,-000.0200
7067518,14,32,117,155,-000.0850,-000.0230
7067605,16,32,108,167,-000.0850,-000.0310
7067692,17,32,129,192,-000.1010,-000.0330
7067780,16,32,128,161,-000.0900,-000.0220
7067867,14,32,110,147,-000.0790,-000.0230
7067954,14,32,109,167,-000.0860,-000.0300
7149938,15,36,117,176,-000.0900,-000.0290
7150021,14,36,160,162,-000.1010,-000.0090
7150108,16,32,128,157,-000.0880,-000.0210
7150195,15,33,117,177,-000.0920,-000.0310
7150283,16,32,109,154,-000.0810,-000.0260
7150370,16,29,108,171,-000.0870,-000.0330
7150457,13,36,110,171,-000.0870,-000.0290
7150545,14,36,107,138,-000.0740,-000.0190
7150632,13,34,108,136,-000.0740,-000.0180
7150719,16,33,117,167,-000.0880,-000.0270
7150806,16,32,99,159,-000.0790,-000.0310
7150894,13,36,101,138,-000.0720,-000.0210
7150981,14,32,109,170,-000.0870,-000.0310
7151069,14,34,156,170,-000.1030,-000.0140
7151156,14,33,104,138,-000.0740,-000.0210
7151243,16,33,128,162,-000.0900,-000.0220
7151330,14,36,103,177,-000.0860,-000.0340
7151418,15,36,114,168,-000.0860,-000.0270
7151505,11,33,120,155,-000.0860,-000.0210
7151593,14,36,115,160,-000.0840,-000.0240
7151680,16,33,108,153,-000.0800,-000.0260
7151767,16,34,121,163,-000.0870,-000.0240
7151854,13,32,115,188,-000.0960,-000.0350
7151942,13,32,100,160,-000.0810,-000.0300
7152029,13,36,106,153,-000.0790,-000.0240
7152116,14,32,138,179,-000.1000,-000.0240
7152204,14,34,124,158,-000.0870,-000.0210
7152291,11,32,128,162,-000.0920,-000.0210
7152379,16,32,96,131,-000.0680,-000.0230
7152466,14,33,113,163,-000.0860,-000.0270
7152553,16,33,107,141,-000.0750,-000.0220
7152640,14,30,106,149,-000.0790,-000.0250
7152728,14,33,128,162,-000.0910,-000.0210
7152815,15,29,115,154,-000.0840,-000.0250
7152902,13,32,105,152,-000.0800,-000.0260
7152989,14,32,102,160,-000.0810,-000.0300
7153077,16,32,112,160,-000.0840,-000.0270
7153164,11,32,130,174,-000.0970,-000.0240
7153252,7,32,115,171,-000.0920,-000.0270
7153339,14,29,138,192,-000.1060,-000.0300
7153426,14,32,114,184,-000.0940,-000.0340
7153514,16,32,115,147,-000.0800,-000.0220
7153601,14,32,107,150,-000.0790,-000.0250
7153688,14,36,113,160,-000.0840,-000.0250
7153775,18,32,104,136,-000.0720,-000.0220
7153863,16,32,130,163,-000.0910,-000.0220
7153950,16,32,113,173,-000.0890,-000.0310
7154037,16,33,112,168,-000.0860,-000.0290
7154125,14,32,114,160,-000.0850,-000.0260
7154212,15,32,106,162,-000.0830,-000.0290
7154299,14,31,120,151,-000.0850,-000.0210
7154387,16,33,115,150,-000.0810,-000.0220
7154474,14,36,113,150,-000.0800,-000.0210
7154561,16,32,112,162,-000.0850,-000.0280
7154649,14,32,114,153,-000.0830,-000.0230
7154736,16,32,137,162,-000.0930,-000.0190
7154823,18,34,108,141,-000.0750,-000.0220
7154911,16,33,119,160,-000.0860,-000.0240
7154998,15,32,109,140,-000.0760,-000.0210
7155085,14,32,111,170,-000.0880,-000.0300
7155172,16,32,128,168,-000.0920,-000.0240
7155260,16,32,139,192,-000.1050,-000.0290
7155347,14,32,128,179,-000.0970,-000.0270
7155435,13,36,128,184,-000.0980,-000.0270
7155522,14,34,128,177,-000.0950,-000.0260
7155609,14,33,118,176,-000.0920,-000.0290
7155697,17,33,120,171,-000.0900,-000.0280
7155784,16,32,128,158,-000.0890,-000.0210
7155871,13,32,115,148,-000.0820,-000.0210
7155958,14,34,114,146,-000.0800,-000.0200
7156046,15,33,103,131,-000.0710,-000.0190
7156133,14,33,120,176,-000.0930,-000.0290
7156220,16,34,107,163,-000.0830,-000.0290
7156308,16,32,130,161,-000.0910,-000.0210
7156395,15,33,123,164,-000.0890,-000.0240
7156483,13,32,133,168,-000.0950,-000.0220
7156570,14,32,105,131,-000.0720,-000.0190
7156657,18,32,120,160,-000.0860,-000.0250
7156744,16,32,136,172,-000.0960,-000.0230
7156832,15,32,129,154,-000.0880,-000.0190
7238983,14,32,115,178,-000.0920,-000.0320
7239002,16,29,111,173,-000.0890,-000.0330
7239080,14,31,98,154,-000.0780,-000.0290
7239167,14,32,127,160,-000.0900,-000.0210
7239255,15,33,107,147,-000.0780,-000.0240
7239342,14,30,128,178,-000.0970,-000.0280
7239429,16,32,131,163,-000.0920,-000.0220
7239516,14,32,123,160,-000.0880,-000.0230
7239604,14,32,105,155,-000.0800,-000.0270
7239691,13,30,104,144,-000.0770,-000.0240
7239778,13,29,110,166,-000.0870,-000.0300
7239866,16,29,153,206,-000.1150,-000.0300
7239953,17,29,115,173,-000.0900,-000.0320
7240040,16,32,126,163,-000.0900,-000.0230
7240128,18,32,107,147,-000.0770,-000.0250
7240215,15,31,130,160,-000.0910,-000.0210
7240303,16,32,110,155,-000.0810,-000.0260
7240390,16,32,114,145,-000.0790,-000.0210
7240477,16,32,111,178,-000.0900,-000.0340
7240564,18,32,114,170,-000.0870,-000.0310
7240652,14,32,109,178,-000.0900,-000.0340
7240739,16,32,112,155,-000.0820,-000.0250
7240826,14,32,110,170,-000.0870,-000.0300
7240914,16,32,112,173,-000.0880,-000.0320
7241001,14,36,128,160,-000.0890,-000.0200
7241088,14,36,112,166,-000.0850,-000.0270
7241176,12,34,108,171,-000.0870,-000.0300
7241263,14,32,130,163,-000.0920,-000.0210
7241350,14,32,117,177,-000.0920,-000.0310
7241437,16,32,115,171,-000.0890,-000.0300
7241525,11,36,117,154,-000.0840,-000.0200
7241612,14,32,105,138,-000.0740,-000.0210
7241699,14,34,124,179,-000.0950,-000.0280
7241787,14,36,109,150,-000.0790,-000.0230
7241874,17,32,123,179,-000.0940,-000.0300
7241961,16,36,142,202,-000.1080,-000.0300
7242049,12,32,113,150,-000.0820,-000.0220
7242136,16,32,119,157,-000.0850,-000.0240
7242223,14,36,115,178,-000.0910,-000.0300
7242311,14,36,122,162,-000.0870,-000.0220
7242398,16,33,120,192,-000.0980,-000.0350
7242485,14,36,107,160,-000.0810,-000.0270
7242573,11,32,104,163,-000.0840,-000.0290
7242660,16,34,108,158,-000.0810,-000.0270
7242747,11,33,115,173,-000.0910,-000.0280
7242835,16,33,113,153,-000.0810,-000.0240
7242922,16,32,120,154,-000.0850,-000.0220
7243009,18,34,128,181,-000.0960,-000.0290
7243096,16,32,104,150,-000.0780,-000.0260
7243184,12,34,106,161,-000.0830,-000.0270
7243271,14,32,115,160,-000.0860,-000.0250
7243358,16,33,118,171,-000.0900,-000.0280
7243446,15,32,104,128,-000.0700,-000.0180
7243533,15,32,106,163,-000.0830,-000.0300
7243621,16,33,132,171,-000.0940,-000.0240
7243708,16,33,114,147,-000.0800,-000.0220
7243795,14,33,120,163,-000.0880,-000.0240
7243882,11,32,110,168,-000.0880,-000.0290
7243970,11,36,122,166,-000.0900,-000.0230
7244057,16,35,108,171,-000.0850,-000.0310
7244144,16,34,137,195,-000.1040,-000.0300
7244232,16,32,120,160,-000.0870,-000.0240
7244319,16,33,130,187,-000.0990,-000.0300
7244406,15,32,115,176,-000.0910,-000.0310
7244494,11,34,106,158,-000.0820,-000.0260
7244581,12,32,113,176,-000.0910,-000.0310
7244668,11,32,114,184,-000.0950,-000.0330
7244755,13,32,107,156,-000.0820,-000.0260
7244843,16,36,128,160,-000.0880,-000.0200
7244930,11,36,110,168,-000.0860,-000.0270
7245018,14,33,136,168,-000.0950,-000.0210
7245105,15,32,108,176,-000.0880,-000.0340
7245192,13,36,96,152,-000.0750,-000.0270
7245280,16,32,106,141,-000.0750,-000.0230
7245367,13,32,114,156,-000.0840,-000.0240
7245454,13,32,129,188,-000.1010,-000.0300
7245541,14,32,108,162,-000.0840,-000.0280
7245629,14,36,112,145,-000.0780,-000.0200
7245716,14,32,109,176,-000.0890,-000.0330
7245803,12,32,99,144,-000.0750,-000.0250
7329798,13,32,128,184,-000.0990,-000.0290
7329817,17,32,141,176,-000.0990,-000.0230
7329887,18,34,131,178,-000.0960,-000.0270
7329974,16,32,114,161,-000.0850,-000.0270
7330061,11,34,112,153,-000.0820,-000.0220
7330149,14,32,138,176,-000.0990,-000.0230
7330236,14,34,128,184,-000.0980,-000.0290
7330324,14,33,106,143,-000.0760,-000.0220
7330411,16,32,107,166,-000.0840,-000.0310
7330498,16,32,112,171,-000.0880,-000.0310
7330585,14,32,108,147,-000.0790,-000.0230
7330673,16,32,104,147,-000.0770,-000.0250
7330760,14,32,106,160,-000.0820,-000.0280
7330848,13,31,121,180,-000.0950,-000.0300
7330935,14,32,129,178,-000.0970,-000.0270
7331022,16,32,114,155,-000.0830,-000.0250
7331109,14,36,128,179,-000.0950,-000.0260
7331197,16,28,112,168,-000.0880,-000.0310
7331284,14,30,117,155,-000.0850,-000.0240
7331371,14,34,110,155,-000.0810,-000.0250
7331459,17,31,115,154,-000.0830,-000.0250
7331546,13,32,112,147,-000.0800,-000.0220
7331633,16,30,107,147,-000.0780,-000.0250
7331721,16,32,130,181,-000.0980,-000.0280
7331808,14,32,112,169,-000.0880,-000.0290
7331895,16,32,131,191,-000.1010,-000.0310
7331982,16,32,115,154,-000.0830,-000.0240
7332070,14,32,122,174,-000.0930,-000.0280
7332157,14,32,109,138,-000.0760,-000.0200
7332245,18,29,147,210,-000.1140,-000.0340
7332332,16,32,112,186,-000.0930,-000.0360
7332419,14,32,108,163,-000.0840,-000.0290
7332506,16,32,120,182,-000.0940,-000.0320
7332594,14,31,131,157,-000.0900,-000.0190
7332681,16,29,115,162,-000.0870,-000.0280
7332768,16,32,128,166,-000.0920,-000.0240
7332855,16,32,106,155,-000.0800,-000.0270
7332943,14,32,108,144,-000.0780,-000.0220
7333030,14,32,104,137,-000.0740,-000.0210
7333117,17,32,121,155,-000.0850,-000.0230
7333205,17,36,133,186,-000.0990,-000.0280
7333292,16,32,110,172,-000.0870,-000.0320
7333379,16,33,107,184,-000.0900,-000.0370
7333467,17,31,134,162,-000.0920,-000.0210
7333554,15,32,109,157,-000.0820,-000.0270
7333641,17,32,150,195,-000.1090,-000.0270
7333729,16,32,129,162,-000.0910,-000.0220
7333816,17,32,106,168,-000.0840,-000.0320
7333903,14,32,107,192,-000.0940,-000.0390
7333991,16,29,106,136,-000.0740,-000.0220
7334078,17,29,110,160,-000.0840,-000.0290
7334165,12,32,141,194,-000.1070,-000.0280
7334253,17,32,128,185,-000.0980,-000.0310
7334340,16,32,130,192,-000.1010,-000.0320
7334427,16,32,114,155,-000.0830,-000.0250
7334514,13,34,123,178,-000.0940,-000.0280
7334602,16,33,107,140,-000.0750,-000.0220
7334689,13,32,142,184,-000.1040,-000.0240
7334776,17,31,111,150,-000.0800,-000.0250
7334864,14,32,113,178,-000.0910,-000.0320
7334951,15,32,109,155,-000.0810,-000.0260
7335038,18,29,121,176,-000.0930,-000.0310
7335126,14,32,120,162,-000.0880,-000.0240
7335213,17,32,129,178,-000.0960,-000.0280
7335300,13,32,110,147,-000.0800,-000.0220
7335388,14,32,138,163,-000.0950,-000.0190
7335475,16,32,107,147,-000.0780,-000.0240
7335562,16,31,121,163,-000.0880,-000.0250
7335649,16,32,129,188,-000.1000,-000.0310
7335737,17,31,137,160,-000.0930,-000.0190
7335824,14,32,122,158,-000.0870,-000.0220
7335912,15,29,128,161,-000.0910,-000.0230
7335999,16,32,122,163,-000.0880,-000.0250
7336086,16,32,130,166,-000.0920,-000.0230
7336173,14,32,121,179,-000.0940,-000.0300
7336260,17,32,129,155,-000.0880,-000.0200
7336348,14,32,121,158,-000.0870,-000.0230
7336435,16,32,116,147,-000.0810,-000.0210
7336523,16,32,120,195,-000.0990,-000.0360
7336610,14,32,118,160,-000.0870,-000.0240
7410031,16,33,121,160,-000.0870,-000.0240
7410055,13,33,131,166,-000.0930,-000.0210
7410125,14,36,115,157,-000.0830,-000.0230
7410213,15,32,108,144,-000.0770,-000.0230
7410300,16,33,130,171,-000.0940,-000.0240
7410387,16,34,136,188,-000.1010,-000.0280
7410475,12,32,113,168,-000.0880,-000.0280
7410562,13,32,114,168,-000.0880,-000.0280
7410649,14,34,128,166,-000.0920,-000.0220
7410737,16,33,124,160,-000.0880,-000.0230
7410824,16,32,116,171,-000.0890,-000.0290
7410911,16,34,115,178,-000.0910,-000.0320
7410999,18,32,128,166,-000.0910,-000.0240
7411086,13,32,121,160,-000.0880,-000.0230
7411173,13,32,107,160,-000.0830,-000.0280
7411260,13,32,107,170,-000.0870,-000.0310
7411348,12,34,111,162,-000.0850,-000.0260
7411435,18,34,138,196,-000.1040,-000.0310
7411522,16,32,98,147,-000.0740,-000.0270
7411610,13,32,96,124,-000.0670,-000.0190
7411697,11,32,99,154,-000.0790,-000.0280
7411784,13,32,107,171,-000.0870,-000.0320
7411872,14,33,153,192,-000.1100,-000.0230
7411959,14,32,113,140,-000.0780,-000.0190
7412047,14,32,115,147,-000.0810,-000.0210
7412134,13,31,111,153,-000.0820,-000.0240
7412221,11,34,107,164,-000.0850,-000.0280
7412308,16,32,114,172,-000.0890,-000.0310
7412396,11,32,121,178,-000.0950,-000.0280
7412483,14,32,136,182,-000.1010,-000.0260
7412570,16,32,110,146,-000.0780,-000.0230
7412658,13,32,107,153,-000.0810,-000.0250
7412745,14,32,109,186,-000.0930,-000.0360
7412832,16,33,136,202,-000.1070,-000.0330
7412919,14,32,134,152,-000.0890,-000.0160
7413007,17,31,122,168,-000.0900,-000.0270
7413094,15,32,129,177,-000.0960,-000.0270
7413181,13,32,107,154,-000.0810,-000.0260
7413269,11,34,112,160,-000.0850,-000.0250
