T,s1,s2,s3,s4,v_x,v_y
1780571286217,1857,1795,1760,1913,-000.0520,-000.1810
1780571286267,1853,1781,1806,1906,-000.0471,-000.1882
1780571286317,1896,1834,1812,1918,-000.0403,-000.1855
1780571286367,1829,1790,1691,1930,-000.0531,-000.2072
1780571286417,1864,1810,1813,1911,-000.0476,-000.1845
1780571286467,1922,1907,1627,1866,+000.2270,-000.2035
1780571286517,1935,1893,1645,1792,+000.3082,-000.1777
1780571286567,1997,1950,1691,1783,+000.3528,-000.1757
1780571286617,1989,1931,1673,1744,+000.3792,-000.1662
1780571286667,1991,2003,1555,1702,+000.5666,-000.1406
1780571286717,2065,2058,1538,1682,+000.6546,-000.1229
1780571286767,2077,2055,1538,1631,+000.6753,-000.1059
1780571286817,2081,2046,1580,1613,+000.7090,-000.1117
1780571286867,2090,2060,1561,1617,+000.6916,-000.0941
1780571286917,2133,2133,1411,1538,+000.9473,-000.0934
1780571286967,2204,2206,1557,1542,+000.9718,-000.0869
1780571287017,2224,2245,1450,1503,+001.1337,-000.0787
1780571287067,2204,2236,1411,1507,+001.1211,-000.0787
1780571287117,2258,2285,1482,1513,+001.1464,-000.0945
1780571287167,2227,2271,1368,1415,+001.3160,-000.0851
1780571287217,2322,2335,1360,1425,+001.4208,-000.0641
1780571287267,2294,2322,1339,1424,+001.4121,-000.0608
1780571287317,2337,2354,1344,1401,+001.4685,-000.0911
1780571287367,2306,2316,1259,1420,+001.5069,-000.1162
1780571287417,2346,2340,1415,1399,+001.4974,-000.0729
1780571287467,2415,2411,1349,1366,+001.6773,-000.1505
1780571287517,2388,2427,1251,1375,+001.7509,-000.1420
1780571287567,2437,2473,1110,1267,+001.9481,-000.0965
1780571287617,2448,2527,1110,1290,+002.0413,-000.0843
1780571287667,2553,2657,1180,1297,+002.3799,-000.0589
1780571287717,2618,2676,1264,1247,+002.4299,+000.0103
1780571287767,2622,2706,1181,1240,+002.5749,-000.0097
1780571287817,2613,2738,1211,1194,+002.5961,+000.0173
1780571287867,2721,2790,1247,1178,+003.3426,-000.1037
1780571287917,2705,2801,1206,1181,+002.9904,-000.0395
1780571287967,2702,2775,1221,1176,+002.9865,+000.0176
1780571288017,2767,2845,1307,1194,+007.4836,-000.0802
1780571288067,3413,2828,1252,1190,+003.3994,-000.1619
1780571288117,3423,2798,1122,1034,+003.2242,-000.0096
1780571288167,3417,3420,1246,1153,+014.2345,-000.1502
1780571288217,3410,2875,1219,1184,+015.9532,-000.0440
1780571288267,3413,2868,1149,1129,+009.9738,-000.1562
1780571288317,3417,3420,1255,1162,+015.9838,-000.0402
1780571288367,3420,2891,1203,1184,+007.9166,-000.1211
1780571288417,3422,3412,1194,1192,+011.9355,-000.1345
1780571288467,3420,3417,1232,1152,+016.1660,-000.1062
1780571288517,3412,3417,1231,1160,+018.0882,-000.0013
1780571288567,2722,2854,1179,1177,+009.4031,+000.0090
1780571288617,3422,3417,1230,1165,+015.9866,-000.0366
1780571288667,2780,2900,1160,1208,+005.7595,-000.1592
1780571288717,3415,2865,1249,1153,+014.2224,-000.1370
1780571288767,3421,3420,1242,1155,+012.2949,-000.1755
1780571288817,2775,2820,1203,1167,+003.6300,-000.1883
1780571288867,3418,2801,1237,1139,+004.2985,-000.4622
